brand,fuel_type,model_date,price,vehicle_engine,vehicle_transmission,KM
Toyota,Hybrid,2008,2520000,1500cc,Automatic,135000
Hyundai,Petrol,2022,5300000,1600cc,Automatic,6000
Honda,Petrol,2018,4990000,1800cc,Automatic,70000
Honda,Petrol,2014,3200000,1800cc,Automatic,122457
Toyota,Petrol,2008,2475000,1500cc,Automatic,90000
Suzuki,Petrol,2019,2450000,660cc,Automatic,45000
Honda,Petrol,2004,1400000,1500cc,Manual,107000
Honda,Petrol,2014,2685000,1300cc,Manual,27500
Suzuki,Petrol,2019,2160000,1000cc,Manual,48000
Daihatsu,Petrol,2006,1100000,660cc,Automatic,75000
Toyota,Diesel,1982,320000,100cc,Manual,100000
Mercedes Benz,Petrol,2014,34000000,3500cc,Automatic,39500
Honda,Petrol,2018,4350000,1800cc,Automatic,41000
Toyota,Petrol,2012,2250000,1300cc,Manual,85000
Honda,Petrol,2013,2650000,1800cc,Automatic,149000
Suzuki,Petrol,2018,2995000,660cc,Automatic,17500
Toyota,Petrol,2003,4500000,3378cc,Automatic,265000
Suzuki,Petrol,2018,4000000,1000cc,Automatic,22000
Honda,Hybrid,2017,7200000,1500cc,Automatic,40001
Toyota,Diesel,2022,13350000,2800cc,Automatic,9500
Honda,Hybrid,2015,5500000,1500cc,Automatic,132696
Toyota,Petrol,2019,12000000,2700cc,Automatic,13000
Suzuki,Petrol,2007,540000,1000cc,Manual,123491
Honda,Petrol,2014,2650000,1300cc,Automatic,94000
Honda,Petrol,2014,2550000,1300cc,Manual,74000
Toyota,Petrol,2004,4450000,2500cc,Automatic,147000
Suzuki,Petrol,2015,2100000,660cc,Automatic,98000
Toyota,Petrol,2021,4350000,1500cc,Automatic,33000
Toyota,Petrol,2003,1175000,1300cc,Automatic,100000
Suzuki,Petrol,2017,2250000,1000cc,Manual,118000
Toyota,Petrol,2019,4640000,1600cc,Automatic,43950
Honda,Petrol,2014,3070000,1800cc,Automatic,130000
Honda,Petrol,2016,3780000,1800cc,Automatic,79000
Toyota,Petrol,2011,2190000,1600cc,Automatic,155350
MG,Petrol,2021,6895000,1500cc,Automatic,8000
Honda,Petrol,2014,2950000,1500cc,Manual,81000
Suzuki,Petrol,2005,630000,1000cc,Manual,47000
Toyota,Petrol,2005,1750000,1000cc,Automatic,170000
Toyota,Petrol,2021,14200000,2700cc,Automatic,10500
Suzuki,Petrol,1998,325000,800cc,Manual,1000000
Honda,Petrol,2010,21000001,1800cc,Automatic,150000
Suzuki,Petrol,2008,990000,1000cc,Manual,10000
Suzuki,Petrol,2022,2530000,660cc,Manual,3200
Hyundai,Diesel,2020,3350000,2600cc,Manual,41000
Toyota,Petrol,2014,3650000,1800cc,Automatic,120000
Toyota,Hybrid,2011,4200000,1800cc,Automatic,185690
Changan,Petrol,2021,3995000,1500cc,Automatic,18700
Suzuki,Petrol,1988,270000,800cc,Manual,266000
Honda,Petrol,2018,3150000,1500cc,Automatic,83652
Suzuki,Petrol,2022,2390000,660cc,Manual,18000
Honda,Hybrid,2015,3495000,1500cc,Automatic,109000
Suzuki,Petrol,2018,1390000,800cc,Manual,42000
Honda,Petrol,2018,4800000,1800cc,Automatic,89000
Toyota,Petrol,2019,4095000,1000cc,Automatic,19290
Honda,Hybrid,2016,6795000,1500cc,Automatic,89995
Toyota,Petrol,2019,4250000,996cc,Automatic,44004
Toyota,Petrol,2019,4495000,1000cc,Automatic,55069
Honda,Petrol,2019,3700000,1300cc,Automatic,50000
Toyota,Petrol,2021,5280000,1600cc,Automatic,31900
Suzuki,Petrol,2013,1440000,1000cc,Manual,48356
Honda,Petrol,2017,3300000,1300cc,Manual,66016
Toyota,Diesel,2022,18900000,2800cc,Automatic,8600
Toyota,Petrol,2005,3995000,2400cc,Automatic,150000
DFSK,Petrol,2020,4600000,1500cc,Automatic,30000
BMW,Petrol,1997,1750000,1800cc,Automatic,81000
Toyota,Petrol,2017,4350000,1800cc,Automatic,78000
KIA,Petrol,2021,7300000,2000cc,Automatic,15000
Suzuki,Petrol,2018,1355000,800cc,Manual,55000
Honda,Petrol,2014,2450000,1300cc,Manual,57300
Toyota,Petrol,2010,17000000,4000cc,Automatic,125000
Suzuki,Petrol,2003,470000,800cc,Manual,346000
Honda,Petrol,2004,1350000,1300cc,Automatic,150000
Nissan,Petrol,2018,4535000,1200cc,Automatic,56000
Toyota,Hybrid,2018,5650000,1500cc,Automatic,103000
Toyota,Petrol,2023,7525000,1800cc,Automatic,25
Suzuki,Petrol,1984,285000,800cc,Manual,99999
Suzuki,Petrol,2022,2565000,660cc,Manual,1600
Toyota,Petrol,2014,3800000,1600cc,Automatic,63000
Toyota,Petrol,2014,2625000,1000cc,Automatic,134000
Toyota,Petrol,2021,3800000,1300cc,Manual,19500
Suzuki,Petrol,2006,800000,1000cc,Manual,50000
Nissan,Petrol,2015,1675000,660cc,Automatic,85000
Toyota,Diesel,1995,5500000,4200cc,Automatic,350000
Suzuki,Petrol,2005,500000,800cc,Manual,111111
Toyota,Petrol,2008,1590000,1000cc,Automatic,175000
Suzuki,Petrol,1999,580000,1000cc,Manual,95000
Toyota,Petrol,2018,4750000,1800cc,Automatic,57000
Toyota,Petrol,2011,1780,1300cc,Manual,1200
Hyundai,Petrol,2023,8450000,2000cc,Automatic,8
Toyota,Petrol,2019,4250000,1300cc,Automatic,50900
Toyota,Petrol,2021,5700000,1600cc,Automatic,9300
Honda,Petrol,2014,4860000,1500cc,Automatic,152000
Toyota,Petrol,2009,1925000,1300cc,Manual,66375
Honda,Petrol,2015,2400000,660cc,Automatic,53000
Suzuki,Petrol,2016,1525000,1000cc,Manual,26724
Toyota,Petrol,2005,4000000,2500cc,Automatic,84000
Toyota,Petrol,2014,4800000,1800cc,Automatic,184000
Toyota,Petrol,2022,6790000,1799cc,Automatic,13300
KIA,Petrol,2022,6450000,2000cc,Automatic,9800
Changan,Petrol,2021,4600000,1500cc,Automatic,661
Honda,Petrol,2006,1550000,1300cc,Automatic,195000
Daihatsu,Petrol,2017,2965000,660cc,Automatic,84000
Honda,Petrol,2014,2800000,1800cc,Automatic,135000
Suzuki,Petrol,2016,1800000,1000cc,Manual,108000
Hyundai,Petrol,2007,1085000,1000cc,Manual,146000
Honda,Petrol,2006,1420000,1600cc,Manual,80000
Suzuki,Petrol,2005,575000,800cc,Manual,100000
Toyota,Petrol,2021,4650000,1500cc,Automatic,25000
Suzuki,Petrol,2021,3090000,1000cc,Manual,41700
Suzuki,Petrol,2022,2750000,1000cc,Manual,6300
Daihatsu,Petrol,2007,660000,800cc,Manual,200000
Suzuki,Petrol,2022,2465000,660cc,Manual,9690
Honda,Petrol,2001,2600000,1500cc,Manual,70000
Toyota,Petrol,2003,1650000,1600cc,Automatic,273191
Suzuki,Petrol,2016,1175000,800cc,Manual,29425
Suzuki,Petrol,2021,3680000,1000cc,Automatic,13600
Suzuki,Petrol,1980,330000,539cc,Manual,539
Toyota,Petrol,2022,5090000,1500cc,Automatic,7500
Suzuki,Petrol,2006,540000,800cc,Manual,100000
Mitsubishi,Petrol,2008,1550000,1300cc,Manual,135000
Suzuki,Petrol,2011,900000,1000cc,Manual,150000
Honda,Petrol,2019,3850000,660cc,Automatic,32600
Honda,Petrol,2005,1430000,1600cc,Automatic,236000
Toyota,Petrol,2013,6800000,4000cc,Automatic,130000
Honda,Petrol,2006,1300000,1600cc,Automatic,146000
Toyota,Petrol,1996,4300000,3400cc,Automatic,110000
Toyota,Petrol,2017,5550000,1500cc,Automatic,66500
Toyota,Petrol,2015,7250000,2700cc,Automatic,81600
Honda,Hybrid,2016,5200000,1500cc,Automatic,45000
Toyota,Petrol,2017,6200000,1800cc,Automatic,26000
Audi,Petrol,2018,15400000,1800cc,Automatic,47000
Toyota,Petrol,2018,4060000,1300cc,Automatic,78000
Toyota,Petrol,2005,8200000,4000cc,Automatic,125000
Toyota,Petrol,2012,2090000,1300cc,Manual,88000
MG,Petrol,2021,7300000,1500cc,Automatic,24000
Honda,Petrol,2009,2575000,1800cc,Automatic,157000
Daihatsu,Petrol,2005,590000,800cc,Manual,107632
Toyota,Hybrid,2017,4920000,1500cc,Automatic,187000
Toyota,Petrol,2016,3200000,1600cc,Automatic,77300
Toyota,Diesel,2023,14800000,2400cc,Automatic,1
Suzuki,Petrol,2021,2500000,660cc,Manual,7000
Suzuki,Petrol,2014,1250000,1000cc,Manual,44720
Toyota,Petrol,2007,1410000,1000cc,Automatic,195000
Suzuki,Petrol,2008,1550000,660cc,Automatic,120000
Toyota,Petrol,2012,2225000,1300cc,Manual,110000
Honda,Petrol,2023,4550000,1200cc,Manual,20
Suzuki,Petrol,2009,620000,1000cc,Manual,1
Toyota,Petrol,2013,2300000,1300cc,Manual,147000
Toyota,Petrol,2017,2990000,1300cc,Manual,100000
Toyota,Petrol,1994,1500000,2500cc,Manual,25000
Honda,Petrol,2021,4380000,1200cc,Manual,17000
Suzuki,Petrol,1980,330000,539cc,Manual,539
Toyota,Petrol,2013,4450000,1800cc,Automatic,125000
Honda,Petrol,2018,2750000,1300cc,Manual,152000
Suzuki,Petrol,1999,525000,1300cc,Manual,187000
Toyota,Hybrid,2014,3870000,1500cc,Automatic,92000
Suzuki,Petrol,2004,560000,1000cc,Manual,20950
KIA,Petrol,2022,3199000,1000cc,Automatic,5
Suzuki,Petrol,2021,2270000,660cc,Manual,21000
Honda,Petrol,2005,1375000,1600cc,Manual,300000
Suzuki,Petrol,2022,2460000,660cc,Manual,9670
Toyota,Petrol,2015,4700000,1500cc,Automatic,100000
Honda,Petrol,2017,3400000,1500cc,Automatic,89000
Toyota,Petrol,2007,1550000,1000cc,Automatic,160633
Mercedes Benz,Petrol,2015,13200000,1600cc,Automatic,43384
Chevrolet,Petrol,2010,2700000,1800cc,Automatic,156590
Toyota,Petrol,2017,42000000,4600cc,Automatic,50112
Honda,Petrol,2005,1400000,1500cc,Automatic,129922
Toyota,Petrol,2008,2000000,1800cc,Automatic,395859
Honda,Petrol,2009,4500000,2400cc,Automatic,99054
Porsche,Petrol,2019,80000000,3000cc,Automatic,7690
Suzuki,Petrol,2012,1100000,1000cc,Manual,5275
Suzuki,Petrol,2014,1250000,1000cc,Manual,1269
Suzuki,Petrol,2016,2375000,1300cc,Automatic,91714
Toyota,Petrol,2015,2610000,1300cc,Manual,127000
Toyota,Petrol,2017,4350000,1800cc,Automatic,78000
Daihatsu,Petrol,2018,3100000,660cc,Automatic,55000
Suzuki,Petrol,2018,1260000,800cc,Manual,60000
Toyota,Petrol,2004,9900000,3378cc,Automatic,196000
Toyota,Petrol,2019,4925000,1800cc,Automatic,58000
Toyota,Petrol,2015,3000000,1300cc,Manual,107000
Honda,Petrol,2006,1300000,1600cc,Automatic,146000
Toyota,Petrol,2022,7000000,1800cc,Automatic,12000
Toyota,Petrol,2022,7050000,1800cc,Automatic,18000
Suzuki,Petrol,2016,1875000,1300cc,Manual,121000
Toyota,Petrol,2006,1550000,1300cc,Manual,300000
Honda,Petrol,2010,2200000,1300cc,Manual,141000
Hyundai,Petrol,2023,7850000,2000cc,Automatic,10
Mazda,Petrol,2019,3175000,660cc,Automatic,32000
Hyundai,CNG,2000,480000,1000cc,Manual,5588
Honda,Petrol,2009,2150000,1300cc,Automatic,150000
Toyota,Petrol,2015,3199000,1300cc,Automatic,1
Daihatsu,Petrol,2007,1000000,800cc,Automatic,106000
Honda,Petrol,2010,2050000,1800cc,Manual,103000
Honda,Petrol,2020,7250000,1500cc,Automatic,46000
Daihatsu,Petrol,2016,2690000,660cc,Automatic,85000
Hyundai,Petrol,2021,9480000,2500cc,Automatic,9300
Suzuki,Petrol,2019,2085000,660cc,Manual,68000
Suzuki,Petrol,2012,1530000,1300cc,Manual,98000
Suzuki,Petrol,2016,2375000,1300cc,Automatic,91714
Toyota,Petrol,2007,1800000,1000cc,Automatic,110199
Suzuki,Hybrid,2021,3650000,660cc,Automatic,8233
Honda,Hybrid,2016,5250000,1500cc,Automatic,72848
Hyundai,Petrol,2009,1160000,1100cc,Manual,207085
Suzuki,Petrol,2009,875000,1000cc,Manual,29716
Suzuki,Petrol,2009,875000,1000cc,Manual,55220
Toyota,Petrol,2007,3000000,1500cc,Automatic,130839
United,Petrol,2022,1490000,796cc,Manual,7989
Suzuki,Petrol,2009,875000,1000cc,Manual,5610
Toyota,Petrol,2018,3800000,996cc,Automatic,83436
Suzuki,Petrol,2022,3390000,1000cc,Manual,23000
Suzuki,Petrol,2012,1530000,1300cc,Manual,98000
Honda,Petrol,2001,590000,1300cc,Manual,12345
Suzuki,Petrol,2008,1400000,660cc,Automatic,123456
Suzuki,Petrol,2018,1150000,800cc,Manual,123456
Suzuki,Petrol,2016,1020000,800cc,Manual,123456
Toyota,Petrol,2016,3050000,1300cc,Automatic,84000
Suzuki,Petrol,1995,280000,1000cc,Manual,9999
Honda,Petrol,2006,1650000,1300cc,Manual,11111
Mitsubishi,Petrol,2015,1925000,660cc,Automatic,67000
Toyota,CNG,1999,1070000,1300cc,Manual,192
KIA,Petrol,2020,7050000,1999cc,Automatic,29600
Toyota,Hybrid,2017,4920000,1500cc,Automatic,187000
Toyota,Petrol,2013,2520000,1300cc,Manual,75000
DFSK,Petrol,2013,1050000,1000cc,Manual,100000
Toyota,Petrol,2015,3100000,1000cc,Automatic,56400
Suzuki,Petrol,2020,2185000,660cc,Manual,29000
Others,Diesel,2020,9800000,4000cc,Automatic,90000
Toyota,Petrol,2014,2875000,1000cc,Automatic,144000
Honda,Petrol,2013,2900000,1800cc,Automatic,100000
Suzuki,Petrol,1989,570000,800cc,Manual,1
Honda,Petrol,2023,5490000,1500cc,Automatic,60
Toyota,Petrol,2022,4700000,1300cc,Automatic,8000
Daihatsu,Petrol,2013,2500000,660cc,Automatic,98528
Toyota,Petrol,2012,2700000,1300cc,Automatic,125000
Toyota,Petrol,2011,11000000,3500cc,Automatic,76000
Suzuki,Petrol,2014,990000,800cc,Manual,62000
Suzuki,Petrol,2017,2090000,1300cc,Automatic,53000
Honda,Petrol,2017,5000000,1800cc,Automatic,20000
Suzuki,Petrol,2021,2665000,660cc,Automatic,12000
Suzuki,Petrol,2022,2765000,660cc,Automatic,6000
Honda,Petrol,2021,6375000,1800cc,Automatic,22000
Toyota,Petrol,2004,7140000,3378cc,Automatic,130000
Honda,Petrol,2008,1890000,1800cc,Automatic,157000
Honda,Petrol,2023,6100000,1500cc,Automatic,500
Suzuki,Petrol,2013,1275000,1000cc,Manual,68792
Suzuki,Petrol,2013,1275000,1000cc,Manual,67821
Honda,Petrol,2014,2750000,1800cc,Automatic,117599
Suzuki,Petrol,2006,690000,1000cc,Manual,208450
Toyota,Petrol,2010,7500000,2500cc,Automatic,72000
Suzuki,Petrol,2019,2575000,1300cc,Automatic,83603
Toyota,Petrol,2013,1950000,1300cc,Manual,2
Toyota,Petrol,2021,6775000,1800cc,Automatic,31700
Suzuki,Petrol,2018,2030000,1000cc,Manual,67000
Toyota,Petrol,2011,2100000,1300cc,Manual,95000
Honda,Petrol,2017,2785000,1300cc,Manual,76000
Toyota,Petrol,2016,4800000,1500cc,Automatic,54000
Suzuki,Petrol,1991,270000,1000cc,Manual,15000
Suzuki,Petrol,1991,270000,1000cc,Manual,15000
Toyota,Hybrid,2017,5650000,1500cc,Automatic,64000
Suzuki,Hybrid,2018,3150000,660cc,Automatic,36000
Honda,Petrol,2021,4370000,1500cc,Automatic,16000
Suzuki,Petrol,2017,1750000,1000cc,Manual,95000
Honda,Petrol,2023,7525000,1500cc,Automatic,1
Toyota,Petrol,2009,2200000,1300cc,Manual,139792
Suzuki,Petrol,2000,670000,1000cc,Manual,150000
Toyota,Petrol,2014,2600000,1000cc,Automatic,107000
Suzuki,Petrol,2017,1100000,796cc,Manual,102000
Suzuki,Petrol,2006,650000,1000cc,Manual,38500
Suzuki,Petrol,2014,945000,800cc,Manual,84000
Toyota,Petrol,2019,3450000,1300cc,Manual,56000
Daihatsu,Petrol,2011,625000,800cc,Manual,180000
Suzuki,Petrol,1989,150000,800cc,Manual,100000
Daihatsu,Petrol,2018,3485000,660cc,Automatic,32000
Daihatsu,Petrol,2016,2675000,660cc,Automatic,38000
Suzuki,Petrol,2013,1600000,1300cc,Manual,153769
Honda,Hybrid,2015,5075000,1500cc,Automatic,82617
Honda,Petrol,2017,2950000,1500cc,Manual,82325
Toyota,Petrol,1998,4400000,3400cc,Automatic,168000
Suzuki,Petrol,2007,850000,1000cc,Manual,105245
Honda,Petrol,2023,7600000,1500cc,Automatic,10
Honda,Petrol,2020,5985000,1800cc,Automatic,16200
Toyota,Petrol,2003,1850000,1600cc,Automatic,106223
Honda,Petrol,2004,1290000,1500cc,Automatic,122511
Suzuki,Petrol,2022,3700000,1000cc,Automatic,16634
Honda,Petrol,2008,2050000,1300cc,Automatic,78000
Honda,Petrol,2015,3250000,1800cc,Automatic,81000
Toyota,Petrol,2022,4700000,1500cc,Automatic,7500
Toyota,Petrol,2004,1500000,1600cc,Automatic,170000
Toyota,Petrol,2014,3560000,1800cc,Automatic,109626
Toyota,Petrol,2004,1725000,1600cc,Automatic,152500
Daihatsu,Petrol,2018,3100000,660cc,Automatic,44000
Toyota,Petrol,2012,27750000,1500cc,Automatic,12315
Toyota,Petrol,2014,7200000,2700cc,Automatic,51000
Suzuki,Petrol,2012,785000,800cc,Manual,89000
Suzuki,Petrol,2016,1425000,1000cc,Manual,70000
Honda,Petrol,2022,6495000,1800cc,Automatic,12000
Toyota,Petrol,2011,1780000,1300cc,Manual,180000
Daihatsu,Petrol,1997,1450000,1300cc,Automatic,200000
Suzuki,Petrol,2013,680000,800cc,Manual,69000
Suzuki,Petrol,2008,930000,1000cc,Manual,75000
Suzuki,Petrol,2013,1000000,800cc,Manual,152000
Toyota,Petrol,2018,4150000,1600cc,Automatic,85000
Suzuki,Petrol,2006,530000,800cc,Manual,21
Honda,Petrol,2009,1945000,1300cc,Manual,121000
Suzuki,Petrol,2008,925000,1000cc,Manual,160000
Suzuki,Petrol,2017,3950000,1000cc,Automatic,30000
Hyundai,Petrol,2004,875000,1000cc,Manual,143000
Toyota,Petrol,2018,3600000,1600cc,Automatic,71091
Honda,Petrol,2021,3750000,1300cc,Manual,21000
Honda,Petrol,2011,2325000,1800cc,Automatic,165182
Honda,Petrol,2008,4400000,2400cc,Automatic,188424
Suzuki,Petrol,2022,4700000,1242cc,Automatic,8329
FAW,Petrol,2017,1400000,1300cc,Manual,64980
Suzuki,Petrol,2012,825000,796cc,Manual,91506
Toyota,Petrol,2012,4400000,1800cc,Automatic,80322
Toyota,Petrol,2009,2065000,1000cc,Automatic,52000
Honda,Petrol,2020,3850000,1500cc,Automatic,68703
Honda,Petrol,2012,2490000,1800cc,Manual,163923
Honda,Petrol,2005,1700000,1300cc,Manual,195132
Toyota,Petrol,2018,6500000,1500cc,Automatic,57861
Toyota,Petrol,2019,4400000,1600cc,Automatic,85000
Suzuki,Petrol,2011,825000,800cc,Manual,98000
Toyota,Petrol,2016,3200000,1300cc,Manual,101600
Toyota,Petrol,2019,4000000,1300cc,Automatic,145000
Suzuki,Petrol,2022,4250000,1200cc,Automatic,8000
Toyota,Petrol,2006,1850000,1000cc,Automatic,156620
Suzuki,Petrol,2018,2995000,660cc,Automatic,17500
Honda,Petrol,2012,2250000,1800cc,Automatic,160000
Honda,Petrol,2018,2850000,1500cc,Manual,49000
Suzuki,Petrol,2012,1025000,1000cc,Manual,120000
Suzuki,Petrol,2013,845000,800cc,Manual,53000
Suzuki,Petrol,2016,2350000,660cc,Manual,100000
Toyota,Petrol,2022,6150000,1600cc,Automatic,47000
Toyota,Petrol,2011,1850000,1300cc,Manual,170000
Suzuki,Petrol,2017,1300000,796cc,Manual,66000
Honda,Petrol,2004,1590000,1300cc,Automatic,10000
Toyota,Petrol,2022,6000000,1598cc,Manual,600
Toyota,Petrol,2003,4500000,3378cc,Automatic,265000
Daihatsu,Petrol,2007,1190000,660cc,Automatic,190000
Suzuki,Petrol,2017,1195000,796cc,Manual,8907
Honda,Petrol,2020,6200000,1800cc,Automatic,49000
KIA,Petrol,2020,2950000,1000cc,Automatic,35000
Toyota,Petrol,2015,7900000,2700cc,Automatic,57000
Suzuki,Petrol,2016,910000,800cc,Manual,70000
Suzuki,Petrol,2006,720000,1000cc,Manual,12345
Honda,Petrol,2006,1520000,1600cc,Automatic,122000
Honda,Petrol,2013,2725000,1800cc,Automatic,184052
KIA,Petrol,2020,7050000,2000cc,Automatic,26872
Toyota,Petrol,2011,2690000,1600cc,Automatic,136872
Honda,Petrol,2021,5200000,1500cc,Automatic,69410
BMW,Petrol,2021,14900000,1500cc,Automatic,5532
BMW,Petrol,2018,8700000,1500cc,Automatic,86907
Honda,Petrol,2017,5800000,1500cc,Automatic,42910
Toyota,Hybrid,2019,5800000,1500cc,Automatic,30500
Suzuki,Petrol,2014,1450000,1000cc,Manual,83129
Suzuki,Petrol,2004,575000,800cc,Manual,66209
Suzuki,Petrol,2017,2100000,1300cc,Manual,288550
Toyota,Petrol,2022,5800000,1600cc,Automatic,10032
Honda,Petrol,2021,5650000,1800cc,Automatic,19000
Suzuki,Petrol,2018,4000000,1000cc,Automatic,22000
Suzuki,Petrol,2012,1280000,1000cc,Manual,95000
Honda,Petrol,2018,4800000,1800cc,Automatic,102000
Suzuki,Petrol,1989,395000,800cc,Manual,170000
Toyota,Petrol,2013,2075000,1300cc,Manual,86000
Suzuki,Petrol,2018,1990000,1300cc,Manual,100000
Suzuki,Petrol,2021,3550000,1000cc,Automatic,23000
Nissan,Petrol,2012,970000,660cc,Automatic,123123
Honda,Hybrid,2017,7200000,1500cc,Automatic,40001
Toyota,Diesel,2022,13350000,2800cc,Automatic,9500
Honda,Hybrid,2015,5500000,1500cc,Automatic,132696
Toyota,Petrol,2019,12000000,2700cc,Automatic,13000
Toyota,Diesel,1993,3200000,2800cc,Manual,65000
Toyota,Petrol,2020,4850000,1600cc,Automatic,53000
Honda,Petrol,2017,3000000,1300cc,Manual,80000
Changan,Petrol,2021,3850000,1500cc,Automatic,14000
Mercedes Benz,Petrol,2014,12000000,2000cc,Automatic,91000
Lexus,Hybrid,2010,11000000,3500cc,Automatic,67000
FAW,Petrol,2015,825000,1000cc,Manual,1
