brand,currency,description,fuel_type,item_condition,manufacturer,mileage_from_odometer,model_date,price,vehicle_engine,vehicle_transmission
Toyota,PKR,Toyota Vitz 2014 for sale in Karachi,Petrol,used,Toyota,"134,000 km",2014,2625000,1000cc,Automatic
Toyota,PKR,Toyota Yaris 2021 for sale in Islamabad,Petrol,used,Toyota,"19,500 km",2021,3800000,1300cc,Manual
Toyota,PKR,Toyota Corolla 2016 for sale in Karachi,Petrol,used,Toyota,"77,300 km",2016,3200000,1600cc,Automatic
Honda,PKR,Honda BR-V 2020 for sale in Lahore,Petrol,used,Honda,"148,000 km",2020,4700000,1500cc,Automatic
KIA,PKR,KIA Sorento 2022 for sale in Sialkot,Petrol,used,KIA,"18,000 km",2022,9000000,3500cc,Automatic
Suzuki,PKR,Suzuki Cultus 2017 for sale in Rahim Yar Khan,Petrol,used,Suzuki,"150,000 km",2017,1585000,1000cc,Manual
Honda,PKR,Honda City 2022 for sale in Bahawalpur,Petrol,used,Honda,"14,000 km",2022,5000000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2019 for sale in Rawalpindi,Petrol,used,Toyota,"27,855 km",2019,4650000,1300cc,Automatic
Toyota,PKR,Toyota Corolla 2015 for sale in Rawalpindi,Petrol,used,Toyota,"110,000 km",2015,3350000,1300cc,Automatic
Honda,PKR,Honda HR-V 2023 for sale in Lahore,Petrol,used,Honda,45 km,2023,7450000,1500cc,Automatic
Honda,PKR,Honda City 2016 for sale in Rahim Yar Khan,Petrol,used,Honda,"60,000 km",2016,2730000,1300cc,Manual
Toyota,PKR,Toyota Corolla 2001 for sale in Peshawar,Petrol,used,Toyota,"200,000 km",2001,1170000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2015 for sale in Karachi,Petrol,used,Suzuki,"60,000 km",2015,1170000,1000cc,Manual
Honda,PKR,Honda Spike 2012 for sale in Karachi,Hybrid,used,Honda,"123,000 km",2012,2450000,1500cc,Automatic
Suzuki,PKR,Suzuki Cultus 2011 for sale in Karachi,Petrol,used,Suzuki,"43,900 km",2011,1080000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2022 for sale in Peshawar,Petrol,used,Toyota,"6,350 km",2022,7375000,1800cc,Automatic
Honda,PKR,Honda City 2021 for sale in Lahore,Petrol,used,Honda,"14,000 km",2021,4950000,1500cc,Automatic
Nissan,PKR,Nissan March 2004 for sale in Karachi,Petrol,used,Nissan,"100,000 km",2004,1050000,1000cc,Automatic
Daihatsu,PKR,Daihatsu Charade 1985 for sale in Rahim Yar Khan,Petrol,used,Daihatsu,"82,255 km",1985,200000,1000cc,Manual
Honda,PKR,Honda Civic 2021 for sale in Islamabad,Petrol,used,Honda,"20,500 km",2021,6275000,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2008 for sale in Islamabad,Petrol,used,Suzuki,"25,025 km",2008,1025000,1000cc,Manual
Toyota,PKR,Toyota Passo 2013 for sale in Peshawar,Petrol,used,Toyota,"91,000 km",2013,2500000,1000cc,Automatic
Toyota,PKR,Toyota Corolla 2023 for sale in Bahawalpur,Petrol,used,Toyota,10 km,2023,6450000,1600cc,Automatic
MG,PKR,MG HS 2021 for sale in Karachi,Petrol,used,MG,"17,000 km",2021,6150000,1500cc,Automatic
Honda,PKR,Honda City 2019 for sale in Faisalabad,Petrol,used,Honda,"45,286 km",2019,3120000,1300cc,Manual
Suzuki,PKR,Suzuki Mehran 2013 for sale in Lahore,Petrol,used,Suzuki,"60,000 km",2013,1080000,800cc,Manual
Honda,PKR,Honda City 2012 for sale in Hyderabad,Petrol,used,Honda,"67,000 km",2012,2425000,1300cc,Manual
Honda,PKR,Honda Civic 1999 for sale in Lahore,Petrol,used,Honda,"115,000 km",1999,1315000,1600cc,Manual
Suzuki,PKR,Suzuki Mehran 2018 for sale in Islamabad,Petrol,used,Suzuki,"60,000 km",2018,1260000,800cc,Manual
Hyundai,PKR,Hyundai Tucson 2023 for sale in Lahore,Petrol,used,Hyundai,10 km,2023,7850000,2000cc,Automatic
Mazda,PKR,Mazda Flair 2019 for sale in Islamabad,Petrol,used,Mazda,"32,000 km",2019,3175000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2016 for sale in Lahore,Petrol,used,Toyota,"84,000 km",2016,3050000,1300cc,Automatic
Honda,PKR,Honda City 2023 for sale in Lahore,Petrol,used,Honda,60 km,2023,5490000,1500cc,Automatic
Toyota,PKR,Toyota Mark X 2011 for sale in Islamabad,Petrol,used,Toyota,"76,000 km",2011,11000000,3500cc,Automatic
Toyota,PKR,Toyota Crown 2010 for sale in Islamabad,Petrol,used,Toyota,"72,000 km",2010,7500000,2500cc,Automatic
Toyota,PKR,Toyota Sienta 2016 for sale in Multan,Petrol,used,Toyota,"54,000 km",2016,4800000,1500cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2018 for sale in Multan,Hybrid,used,Suzuki,"36,000 km",2018,3150000,660cc,Automatic
Honda,PKR,Honda HR-V 2023 for sale in Multan,Petrol,used,Honda,1 km,2023,7525000,1500cc,Automatic
Honda,PKR,Honda City 2008 for sale in Multan,Petrol,used,Honda,"78,000 km",2008,2050000,1300cc,Automatic
Toyota,PKR,Toyota Corolla 2018 for sale in Karachi,Petrol,used,Toyota,"71,091 km",2018,3600000,1600cc,Automatic
Nissan,PKR,Nissan Sunny 1987 for sale in Dinga,Diesel,used,Nissan,"1,987 km",1987,700000,2000cc,Manual
Toyota,PKR,Toyota Corolla 2016 for sale in Lahore,Petrol,used,Toyota,"85,000 km",2016,3150000,1300cc,Manual
Daihatsu,PKR,Daihatsu Charade 1984 for sale in Lahore,Petrol,used,Daihatsu,"65,000 km",1984,425000,1000cc,Manual
Suzuki,PKR,Suzuki Alto 2010 for sale in Sialkot,Petrol,used,Suzuki,"80,000 km",2010,120000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2022 for sale in Rawalpindi,Petrol,used,Toyota,99 km,2022,6500000,1600cc,Automatic
Suzuki,PKR,Suzuki Cultus 2000 for sale in Karachi,Petrol,used,Suzuki,"75,000 km",2000,515000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2011 for sale in Islamabad,Petrol,used,Toyota,"96,200 km",2011,2300000,1300cc,Manual
Haval,PKR,Haval H6 2023 for sale in Sialkot,Petrol,used,Haval,85 km,2023,10500000,2000cc,Automatic
Honda,PKR,Honda City 2018 for sale in Rawalpindi,Petrol,used,Honda,"88,000 km",2018,3150000,1300cc,Manual
Toyota,PKR,Toyota Prius 2008 for sale in Peshawar,Hybrid,used,Toyota,"135,000 km",2008,2520000,1500cc,Automatic
Hyundai,PKR,Hyundai Elantra 2022 for sale in Lahore,Petrol,used,Hyundai,"6,000 km",2022,5300000,1600cc,Automatic
Honda,PKR,Honda Civic 2018 for sale in Rawalpindi,Petrol,used,Honda,"70,000 km",2018,4990000,1800cc,Automatic
Honda,PKR,Honda Civic 2014 for sale in Faisalabad,Petrol,used,Honda,"122,457 km",2014,3200000,1800cc,Automatic
Toyota,PKR,Toyota Corolla Axio 2008 for sale in Karachi,Petrol,used,Toyota,"90,000 km",2008,2475000,1500cc,Automatic
Suzuki,PKR,Suzuki Alto 2019 for sale in Faisalabad,Petrol,used,Suzuki,"45,000 km",2019,2450000,660cc,Automatic
Honda,PKR,Honda Civic 2004 for sale in Lahore,Petrol,used,Honda,"107,000 km",2004,1400000,1500cc,Manual
Honda,PKR,Honda City 2014 for sale in Karachi,Petrol,used,Honda,"27,500 km",2014,2685000,1300cc,Manual
Suzuki,PKR,Suzuki Wagon R 2019 for sale in Jampur,Petrol,used,Suzuki,"48,000 km",2019,2160000,1000cc,Manual
Daihatsu,PKR,Daihatsu Mira 2006 for sale in Karachi,Petrol,used,Daihatsu,"75,000 km",2006,1100000,660cc,Automatic
Toyota,PKR,Toyota Corolla 1982 for sale in Dera ismail khan,Diesel,used,Toyota,"100,000 km",1982,320000,100cc,Manual
Mercedes Benz,PKR,Mercedes Benz S Class 2014 for sale in Lahore,Petrol,used,Mercedes Benz,"39,500 km",2014,34000000,3500cc,Automatic
Honda,PKR,Honda Civic 2018 for sale in Toba Tek Singh,Petrol,used,Honda,"41,000 km",2018,4350000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2012 for sale in Lahore,Petrol,used,Toyota,"85,000 km",2012,2250000,1300cc,Manual
Honda,PKR,Honda Civic 2013 for sale in Islamabad,Petrol,used,Honda,"149,000 km",2013,2650000,1800cc,Automatic
Suzuki,PKR,Suzuki Alto 2018 for sale in Islamabad,Petrol,used,Suzuki,"17,500 km",2018,2995000,660cc,Automatic
Toyota,PKR,Toyota Surf 2003 for sale in Faisalabad,Petrol,used,Toyota,"265,000 km",2003,4500000,3378cc,Automatic
Suzuki,PKR,Suzuki Swift 2018 for sale in Lahore,Petrol,used,Suzuki,"22,000 km",2018,4000000,1000cc,Automatic
Honda,PKR,Honda Vezel 2017 for sale in Faisalabad,Hybrid,used,Honda,"40,001 km",2017,7200000,1500cc,Automatic
Toyota,PKR,Toyota Hilux 2022 for sale in Lahore,Diesel,used,Toyota,"9,500 km",2022,13350000,2800cc,Automatic
Honda,PKR,Honda Jade 2015 for sale in Faisalabad,Hybrid,used,Honda,"132,696 km",2015,5500000,1500cc,Automatic
Toyota,PKR,Toyota Fortuner 2019 for sale in Faisalabad,Petrol,used,Toyota,"13,000 km",2019,12000000,2700cc,Automatic
Suzuki,PKR,Suzuki Alto 2007 for sale in Karachi,Petrol,used,Suzuki,"123,491 km",2007,540000,1000cc,Manual
Honda,PKR,Honda City 2014 for sale in Lahore,Petrol,used,Honda,"94,000 km",2014,2650000,1300cc,Automatic
Honda,PKR,Honda City 2014 for sale in Lahore,Petrol,used,Honda,"74,000 km",2014,2550000,1300cc,Manual
Toyota,PKR,Toyota Mark X 2004 for sale in Lahore,Petrol,used,Toyota,"147,000 km",2004,4450000,2500cc,Automatic
Suzuki,PKR,Suzuki Alto 2015 for sale in Karachi,Petrol,used,Suzuki,"98,000 km",2015,2100000,660cc,Automatic
Toyota,PKR,Toyota Yaris 2021 for sale in Peshawar,Petrol,used,Toyota,"33,000 km",2021,4350000,1500cc,Automatic
Toyota,PKR,Toyota Duet 2003 for sale in Gujranwala,Petrol,used,Toyota,"100,000 km",2003,1175000,1300cc,Automatic
Suzuki,PKR,Suzuki Cultus 2017 for sale in Karachi,Petrol,used,Suzuki,"118,000 km",2017,2250000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2019 for sale in Faisalabad,Petrol,used,Toyota,"43,950 km",2019,4640000,1600cc,Automatic
Honda,PKR,Honda Civic 2014 for sale in Rawalpindi,Petrol,used,Honda,"130,000 km",2014,3070000,1800cc,Automatic
Honda,PKR,Honda Civic 2016 for sale in Islamabad,Petrol,used,Honda,"79,000 km",2016,3780000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2011 for sale in Lahore,Petrol,used,Toyota,"155,350 km",2011,2190000,1600cc,Automatic
MG,PKR,MG HS 2021 for sale in Lahore,Petrol,used,MG,"8,000 km",2021,6895000,1500cc,Automatic
Honda,PKR,Honda City 2014 for sale in Lahore,Petrol,used,Honda,"81,000 km",2014,2950000,1500cc,Manual
Suzuki,PKR,Suzuki Cultus 2005 for sale in Lahore,Petrol,used,Suzuki,"47,000 km",2005,630000,1000cc,Manual
Toyota,PKR,Toyota Vitz 2005 for sale in Mian Wali,Petrol,used,Toyota,"170,000 km",2005,1750000,1000cc,Automatic
Toyota,PKR,Toyota Fortuner 2021 for sale in Karachi,Petrol,used,Toyota,"10,500 km",2021,14200000,2700cc,Automatic
Suzuki,PKR,Suzuki Mehran 1998 for sale in Karachi,Petrol,used,Suzuki,"1,000,000 km",1998,325000,800cc,Manual
Honda,PKR,Honda Civic 2010 for sale in Attock,Petrol,used,Honda,"150,000 km",2010,21000001,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2008 for sale in Multan,Petrol,used,Suzuki,"10,000 km",2008,990000,1000cc,Manual
Suzuki,PKR,Suzuki Alto 2022 for sale in Karachi,Petrol,used,Suzuki,"3,200 km",2022,2530000,660cc,Manual
Hyundai,PKR,Hyundai H-100 2020 for sale in Islamabad,Diesel,used,Hyundai,"41,000 km",2020,3350000,2600cc,Manual
Toyota,PKR,Toyota Corolla 2014 for sale in Karachi,Petrol,used,Toyota,"120,000 km",2014,3650000,1800cc,Automatic
Toyota,PKR,Toyota Prius 2011 for sale in Islamabad,Hybrid,used,Toyota,"185,690 km",2011,4200000,1800cc,Automatic
Changan,PKR,Changan Alsvin 2021 for sale in Lahore,Petrol,used,Changan,"18,700 km",2021,3995000,1500cc,Automatic
Suzuki,PKR,Suzuki FX 1988 for sale in Mardan,Petrol,used,Suzuki,"266,000 km",1988,270000,800cc,Manual
Honda,PKR,Honda City 2018 for sale in Karachi,Petrol,used,Honda,"83,652 km",2018,3150000,1500cc,Automatic
Suzuki,PKR,Suzuki Alto 2022 for sale in Tando adam,Petrol,used,Suzuki,"18,000 km",2022,2390000,660cc,Manual
Honda,PKR,Honda Fit 2015 for sale in Lahore,Hybrid,used,Honda,"109,000 km",2015,3495000,1500cc,Automatic
Suzuki,PKR,Suzuki Mehran 2018 for sale in Lahore,Petrol,used,Suzuki,"42,000 km",2018,1390000,800cc,Manual
Honda,PKR,Honda Civic 2018 for sale in Lahore,Petrol,used,Honda,"89,000 km",2018,4800000,1800cc,Automatic
Toyota,PKR,Toyota Passo 2019 for sale in Lahore,Petrol,used,Toyota,"19,290 km",2019,4095000,1000cc,Automatic
Honda,PKR,Honda Vezel 2016 for sale in Lahore,Hybrid,used,Honda,"89,995 km",2016,6795000,1500cc,Automatic
Toyota,PKR,Toyota Vitz 2019 for sale in Lahore,Petrol,used,Toyota,"44,004 km",2019,4250000,996cc,Automatic
Toyota,PKR,Toyota Vitz 2019 for sale in Lahore,Petrol,used,Toyota,"55,069 km",2019,4495000,1000cc,Automatic
Honda,PKR,Honda City 2019 for sale in Lahore,Petrol,used,Honda,"50,000 km",2019,3700000,1300cc,Automatic
Toyota,PKR,Toyota Corolla 2021 for sale in Islamabad,Petrol,used,Toyota,"31,900 km",2021,5280000,1600cc,Automatic
Suzuki,PKR,Suzuki Cultus 2013 for sale in Gujrat,Petrol,used,Suzuki,"48,356 km",2013,1440000,1000cc,Manual
Honda,PKR,Honda City 2017 for sale in Islamabad,Petrol,used,Honda,"66,016 km",2017,3300000,1300cc,Manual
Toyota,PKR,Toyota Fortuner 2022 for sale in Faisalabad,Diesel,used,Toyota,"8,600 km",2022,18900000,2800cc,Automatic
Toyota,PKR,Toyota Harrier 2005 for sale in Lahore,Petrol,used,Toyota,"150,000 km",2005,3995000,2400cc,Automatic
DFSK,PKR,DFSK Glory 580 2020 for sale in Islamabad,Petrol,used,DFSK,"30,000 km",2020,4600000,1500cc,Automatic
BMW,PKR,BMW 3 Series 1997 for sale in Lahore,Petrol,used,BMW,"81,000 km",1997,1750000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2017 for sale in Islamabad,Petrol,used,Toyota,"78,000 km",2017,4350000,1800cc,Automatic
KIA,PKR,KIA Sportage 2021 for sale in Multan,Petrol,used,KIA,"15,000 km",2021,7300000,2000cc,Automatic
Suzuki,PKR,Suzuki Bolan 2018 for sale in Rawalpindi,Petrol,used,Suzuki,"55,000 km",2018,1355000,800cc,Manual
Honda,PKR,Honda City 2014 for sale in Bahawalpur,Petrol,used,Honda,"57,300 km",2014,2450000,1300cc,Manual
Toyota,PKR,Toyota Prado 2010 for sale in Wah cantt,Petrol,used,Toyota,"125,000 km",2010,17000000,4000cc,Automatic
Suzuki,PKR,Suzuki Mehran 2003 for sale in Lahore,Petrol,used,Suzuki,"346,000 km",2003,470000,800cc,Manual
Honda,PKR,Honda City 2004 for sale in Karachi,Petrol,used,Honda,"150,000 km",2004,1350000,1300cc,Automatic
Nissan,PKR,Nissan Note 2018 for sale in Lahore,Petrol,used,Nissan,"56,000 km",2018,4535000,1200cc,Automatic
Toyota,PKR,Toyota Aqua 2018 for sale in Chakwal,Hybrid,used,Toyota,"103,000 km",2018,5650000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2023 for sale in Lahore,Petrol,used,Toyota,25 km,2023,7525000,1800cc,Automatic
Suzuki,PKR,Suzuki FX 1984 for sale in Rawalpindi,Petrol,used,Suzuki,"99,999 km",1984,285000,800cc,Manual
Suzuki,PKR,Suzuki Alto 2022 for sale in Islamabad,Petrol,used,Suzuki,"1,600 km",2022,2565000,660cc,Manual
Toyota,PKR,Toyota Corolla 2014 for sale in Kohat,Petrol,used,Toyota,"63,000 km",2014,3800000,1600cc,Automatic
Toyota,PKR,Toyota Vitz 2014 for sale in Karachi,Petrol,used,Toyota,"134,000 km",2014,2625000,1000cc,Automatic
Toyota,PKR,Toyota Yaris 2021 for sale in Islamabad,Petrol,used,Toyota,"19,500 km",2021,3800000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2006 for sale in Peshawar,Petrol,used,Suzuki,"50,000 km",2006,800000,1000cc,Manual
Nissan,PKR,Nissan Clipper 2015 for sale in Karachi,Petrol,used,Nissan,"85,000 km",2015,1675000,660cc,Automatic
Toyota,PKR,Toyota Land Cruiser 1995 for sale in Quetta,Diesel,used,Toyota,"350,000 km",1995,5500000,4200cc,Automatic
Suzuki,PKR,Suzuki Mehran 2005 for sale in Peshawar,Petrol,used,Suzuki,"111,111 km",2005,500000,800cc,Manual
Toyota,PKR,Toyota Vitz 2008 for sale in Islamabad,Petrol,used,Toyota,"175,000 km",2008,1590000,1000cc,Automatic
Suzuki,PKR,Suzuki Khyber 1999 for sale in Mardan,Petrol,used,Suzuki,"95,000 km",1999,580000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2018 for sale in Multan,Petrol,used,Toyota,"57,000 km",2018,4750000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2011 for sale in Mandi bahauddin,Petrol,used,Toyota,"1,200 km",2011,1780,1300cc,Manual
Hyundai,PKR,Hyundai Tucson 2023 for sale in Sialkot,Petrol,used,Hyundai,8 km,2023,8450000,2000cc,Automatic
Toyota,PKR,Toyota Corolla 2019 for sale in Sialkot,Petrol,used,Toyota,"50,900 km",2019,4250000,1300cc,Automatic
Toyota,PKR,Toyota Corolla 2021 for sale in Lahore,Petrol,used,Toyota,"9,300 km",2021,5700000,1600cc,Automatic
Honda,PKR,Honda Vezel 2014 for sale in Lahore,Petrol,used,Honda,"152,000 km",2014,4860000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2009 for sale in Karachi,Petrol,used,Toyota,"66,375 km",2009,1925000,1300cc,Manual
Honda,PKR,Honda N Wgn 2015 for sale in Lahore,Petrol,used,Honda,"53,000 km",2015,2400000,660cc,Automatic
Suzuki,PKR,Suzuki Cultus 2016 for sale in Islamabad,Petrol,used,Suzuki,"26,724 km",2016,1525000,1000cc,Manual
Toyota,PKR,Toyota Mark X 2005 for sale in Lahore,Petrol,used,Toyota,"84,000 km",2005,4000000,2500cc,Automatic
Toyota,PKR,Toyota Prius 2014 for sale in Peshawar,Petrol,used,Toyota,"184,000 km",2014,4800000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2022 for sale in Faisalabad,Petrol,used,Toyota,"13,300 km",2022,6790000,1799cc,Automatic
KIA,PKR,KIA Sportage 2022 for sale in Islamabad,Petrol,used,KIA,"9,800 km",2022,6450000,2000cc,Automatic
Changan,PKR,Changan Alsvin 2021 for sale in Islamabad,Petrol,used,Changan,661 km,2021,4600000,1500cc,Automatic
Honda,PKR,Honda City 2006 for sale in Chowk munda,Petrol,used,Honda,"195,000 km",2006,1550000,1300cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2017 for sale in Karachi,Petrol,used,Daihatsu,"84,000 km",2017,2965000,660cc,Automatic
Honda,PKR,Honda Civic 2014 for sale in Sialkot,Petrol,used,Honda,"135,000 km",2014,2800000,1800cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2016 for sale in Lahore,Petrol,used,Suzuki,"108,000 km",2016,1800000,1000cc,Manual
Hyundai,PKR,Hyundai Santro 2007 for sale in Kasur,Petrol,used,Hyundai,"146,000 km",2007,1085000,1000cc,Manual
Honda,PKR,Honda Civic 2006 for sale in Mardan,Petrol,used,Honda,"80,000 km",2006,1420000,1600cc,Manual
Suzuki,PKR,Suzuki Mehran 2005 for sale in Rawalpindi,Petrol,used,Suzuki,"100,000 km",2005,575000,800cc,Manual
Toyota,PKR,Toyota Yaris 2021 for sale in Jhang,Petrol,used,Toyota,"25,000 km",2021,4650000,1500cc,Automatic
Suzuki,PKR,Suzuki Cultus 2021 for sale in Karachi,Petrol,used,Suzuki,"41,700 km",2021,3090000,1000cc,Manual
Suzuki,PKR,Suzuki Wagon R 2022 for sale in Islamabad,Petrol,used,Suzuki,"6,300 km",2022,2750000,1000cc,Manual
Daihatsu,PKR,Daihatsu Cuore 2007 for sale in Karachi,Petrol,used,Daihatsu,"200,000 km",2007,660000,800cc,Manual
Suzuki,PKR,Suzuki Alto 2022 for sale in Karachi,Petrol,used,Suzuki,"9,690 km",2022,2465000,660cc,Manual
Honda,PKR,Honda Cross Road 2001 for sale in Karachi,Petrol,used,Honda,"70,000 km",2001,2600000,1500cc,Manual
Toyota,PKR,Toyota Corolla 2003 for sale in Pindi Bhattian,Petrol,used,Toyota,"273,191 km",2003,1650000,1600cc,Automatic
Suzuki,PKR,Suzuki Mehran 2016 for sale in Islamabad,Petrol,used,Suzuki,"29,425 km",2016,1175000,800cc,Manual
Suzuki,PKR,Suzuki Cultus 2021 for sale in Faisalabad,Petrol,used,Suzuki,"13,600 km",2021,3680000,1000cc,Automatic
Suzuki,PKR,Suzuki Bolan 1980 for sale in Islamabad,Petrol,used,Suzuki,539 km,1980,330000,539cc,Manual
