brand,model_date,price,vehicle_engine,vehicle_transmission,KM,fuel_code
Suzuki,2010,120000,1000cc,Manual,80000,6
Toyota,2022,6500000,1600cc,Automatic,99,6
Suzuki,2000,515000,1000cc,Manual,75000,6
Toyota,2011,2300000,1300cc,Manual,96200,6
Haval,2023,10500000,2000cc,Automatic,85,6
Honda,2018,3150000,1300cc,Manual,88000,6
Toyota,2008,2520000,1500cc,Automatic,135000,2
Hyundai,2022,5300000,1600cc,Automatic,6000,6
Honda,2018,4990000,1800cc,Automatic,70000,6
Honda,2014,3200000,1800cc,Automatic,122457,6
Toyota,2008,2475000,1500cc,Automatic,90000,6
Suzuki,2019,2450000,660cc,Automatic,45000,6
Honda,2004,1400000,1500cc,Manual,107000,6
Honda,2014,2685000,1300cc,Manual,27500,6
Suzuki,2019,2160000,1000cc,Manual,48000,6
Daihatsu,2006,1100000,660cc,Automatic,75000,6
Toyota,1982,320000,100cc,Manual,100000,1
Mercedes Benz,2014,34000000,3500cc,Automatic,39500,6
Honda,2018,4350000,1800cc,Automatic,41000,6
Toyota,2012,2250000,1300cc,Manual,85000,6
Honda,2013,2650000,1800cc,Automatic,149000,6
Suzuki,2018,2995000,660cc,Automatic,17500,6
Toyota,2003,4500000,3378cc,Automatic,265000,6
Suzuki,2018,4000000,1000cc,Automatic,22000,6
Honda,2017,7200000,1500cc,Automatic,40001,2
Toyota,2022,13350000,2800cc,Automatic,9500,1
Honda,2015,5500000,1500cc,Automatic,132696,2
Toyota,2019,12000000,2700cc,Automatic,13000,6
Suzuki,2007,540000,1000cc,Manual,123491,6
Honda,2014,2650000,1300cc,Automatic,94000,6
Honda,2014,2550000,1300cc,Manual,74000,6
Toyota,2004,4450000,2500cc,Automatic,147000,6
Suzuki,2015,2100000,660cc,Automatic,98000,6
Toyota,2021,4350000,1500cc,Automatic,33000,6
Toyota,2003,1175000,1300cc,Automatic,100000,6
Suzuki,2017,2250000,1000cc,Manual,118000,6
Toyota,2019,4640000,1600cc,Automatic,43950,6
Honda,2014,3070000,1800cc,Automatic,130000,6
Honda,2016,3780000,1800cc,Automatic,79000,6
Toyota,2011,2190000,1600cc,Automatic,155350,6
MG,2021,6895000,1500cc,Automatic,8000,6
Honda,2014,2950000,1500cc,Manual,81000,6
Suzuki,2005,630000,1000cc,Manual,47000,6
Toyota,2005,1750000,1000cc,Automatic,170000,6
Toyota,2021,14200000,2700cc,Automatic,10500,6
Suzuki,1998,325000,800cc,Manual,1000000,6
Honda,2010,21000001,1800cc,Automatic,150000,6
Suzuki,2008,990000,1000cc,Manual,10000,6
Suzuki,2022,2530000,660cc,Manual,3200,6
Hyundai,2020,3350000,2600cc,Manual,41000,1
Toyota,2014,3650000,1800cc,Automatic,120000,6
Toyota,2011,4200000,1800cc,Automatic,185690,2
Changan,2021,3995000,1500cc,Automatic,18700,6
Suzuki,1988,270000,800cc,Manual,266000,6
Honda,2018,3150000,1500cc,Automatic,83652,6
Suzuki,2022,2390000,660cc,Manual,18000,6
Honda,2015,3495000,1500cc,Automatic,109000,2
Suzuki,2018,1390000,800cc,Manual,42000,6
Honda,2018,4800000,1800cc,Automatic,89000,6
Toyota,2019,4095000,1000cc,Automatic,19290,6
Honda,2016,6795000,1500cc,Automatic,89995,2
Toyota,2019,4250000,996cc,Automatic,44004,6
Toyota,2019,4495000,1000cc,Automatic,55069,6
Honda,2019,3700000,1300cc,Automatic,50000,6
Toyota,2021,5280000,1600cc,Automatic,31900,6
Suzuki,2013,1440000,1000cc,Manual,48356,6
Honda,2017,3300000,1300cc,Manual,66016,6
Toyota,2022,18900000,2800cc,Automatic,8600,1
Toyota,2005,3995000,2400cc,Automatic,150000,6
DFSK,2020,4600000,1500cc,Automatic,30000,6
BMW,1997,1750000,1800cc,Automatic,81000,6
Toyota,2017,4350000,1800cc,Automatic,78000,6
KIA,2021,7300000,2000cc,Automatic,15000,6
Suzuki,2018,1355000,800cc,Manual,55000,6
Honda,2014,2450000,1300cc,Manual,57300,6
Toyota,2010,17000000,4000cc,Automatic,125000,6
Suzuki,2003,470000,800cc,Manual,346000,6
Honda,2004,1350000,1300cc,Automatic,150000,6
Nissan,2018,4535000,1200cc,Automatic,56000,6
Toyota,2018,5650000,1500cc,Automatic,103000,2
Toyota,2023,7525000,1800cc,Automatic,25,6
Suzuki,1984,285000,800cc,Manual,99999,6
Suzuki,2022,2565000,660cc,Manual,1600,6
Toyota,2014,3800000,1600cc,Automatic,63000,6
Toyota,2014,2625000,1000cc,Automatic,134000,6
Toyota,2021,3800000,1300cc,Manual,19500,6
Suzuki,2006,800000,1000cc,Manual,50000,6
Nissan,2015,1675000,660cc,Automatic,85000,6
Toyota,1995,5500000,4200cc,Automatic,350000,1
Suzuki,2005,500000,800cc,Manual,111111,6
Toyota,2008,1590000,1000cc,Automatic,175000,6
Suzuki,1999,580000,1000cc,Manual,95000,6
Toyota,2018,4750000,1800cc,Automatic,57000,6
Toyota,2011,1780,1300cc,Manual,1200,6
Hyundai,2023,8450000,2000cc,Automatic,8,6
Toyota,2019,4250000,1300cc,Automatic,50900,6
Toyota,2021,5700000,1600cc,Automatic,9300,6
Honda,2014,4860000,1500cc,Automatic,152000,6
Toyota,2009,1925000,1300cc,Manual,66375,6
Honda,2015,2400000,660cc,Automatic,53000,6
Suzuki,2016,1525000,1000cc,Manual,26724,6
Toyota,2005,4000000,2500cc,Automatic,84000,6
Toyota,2014,4800000,1800cc,Automatic,184000,6
Toyota,2022,6790000,1799cc,Automatic,13300,6
KIA,2022,6450000,2000cc,Automatic,9800,6
Changan,2021,4600000,1500cc,Automatic,661,6
Honda,2006,1550000,1300cc,Automatic,195000,6
Daihatsu,2017,2965000,660cc,Automatic,84000,6
Honda,2014,2800000,1800cc,Automatic,135000,6
Suzuki,2016,1800000,1000cc,Manual,108000,6
Hyundai,2007,1085000,1000cc,Manual,146000,6
Honda,2006,1420000,1600cc,Manual,80000,6
Suzuki,2005,575000,800cc,Manual,100000,6
Toyota,2021,4650000,1500cc,Automatic,25000,6
Suzuki,2021,3090000,1000cc,Manual,41700,6
Suzuki,2022,2750000,1000cc,Manual,6300,6
Daihatsu,2007,660000,800cc,Manual,200000,6
Suzuki,2022,2465000,660cc,Manual,9690,6
Honda,2001,2600000,1500cc,Manual,70000,6
Toyota,2003,1650000,1600cc,Automatic,273191,6
Suzuki,2016,1175000,800cc,Manual,29425,6
Suzuki,2021,3680000,1000cc,Automatic,13600,6
Suzuki,1980,330000,539cc,Manual,539,6
Toyota,2022,5090000,1500cc,Automatic,7500,6
Suzuki,2006,540000,800cc,Manual,100000,6
Mitsubishi,2008,1550000,1300cc,Manual,135000,6
Suzuki,2011,900000,1000cc,Manual,150000,6
Honda,2019,3850000,660cc,Automatic,32600,6
Honda,2005,1430000,1600cc,Automatic,236000,6
Toyota,2013,6800000,4000cc,Automatic,130000,6
Honda,2006,1300000,1600cc,Automatic,146000,6
Toyota,1996,4300000,3400cc,Automatic,110000,6
Toyota,2017,5550000,1500cc,Automatic,66500,6
Toyota,2015,7250000,2700cc,Automatic,81600,6
Honda,2016,5200000,1500cc,Automatic,45000,2
Toyota,2017,6200000,1800cc,Automatic,26000,6
Audi,2018,15400000,1800cc,Automatic,47000,6
Toyota,2018,4060000,1300cc,Automatic,78000,6
Toyota,2005,8200000,4000cc,Automatic,125000,6
Toyota,2012,2090000,1300cc,Manual,88000,6
MG,2021,7300000,1500cc,Automatic,24000,6
Honda,2009,2575000,1800cc,Automatic,157000,6
Daihatsu,2005,590000,800cc,Manual,107632,6
Toyota,2017,4920000,1500cc,Automatic,187000,2
Toyota,2016,3200000,1600cc,Automatic,77300,6
Toyota,2023,14800000,2400cc,Automatic,1,1
Suzuki,2021,2500000,660cc,Manual,7000,6
Suzuki,2014,1250000,1000cc,Manual,44720,6
Toyota,2007,1410000,1000cc,Automatic,195000,6
Suzuki,2008,1550000,660cc,Automatic,120000,6
Toyota,2012,2225000,1300cc,Manual,110000,6
Honda,2023,4550000,1200cc,Manual,20,6
Suzuki,2009,620000,1000cc,Manual,1,6
Toyota,2013,2300000,1300cc,Manual,147000,6
Toyota,2017,2990000,1300cc,Manual,100000,6
Toyota,1994,1500000,2500cc,Manual,25000,6
Honda,2021,4380000,1200cc,Manual,17000,6
Suzuki,1980,330000,539cc,Manual,539,6
Toyota,2013,4450000,1800cc,Automatic,125000,6
Honda,2018,2750000,1300cc,Manual,152000,6
Suzuki,1999,525000,1300cc,Manual,187000,6
Toyota,2014,3870000,1500cc,Automatic,92000,2
Suzuki,2004,560000,1000cc,Manual,20950,6
KIA,2022,3199000,1000cc,Automatic,5,6
Suzuki,2021,2270000,660cc,Manual,21000,6
Honda,2005,1375000,1600cc,Manual,300000,6
Suzuki,2022,2460000,660cc,Manual,9670,6
Toyota,2015,4700000,1500cc,Automatic,100000,6
Honda,2017,3400000,1500cc,Automatic,89000,6
Toyota,2007,1550000,1000cc,Automatic,160633,6
Mercedes Benz,2015,13200000,1600cc,Automatic,43384,6
Chevrolet,2010,2700000,1800cc,Automatic,156590,6
Toyota,2017,42000000,4600cc,Automatic,50112,6
Honda,2005,1400000,1500cc,Automatic,129922,6
Toyota,2008,2000000,1800cc,Automatic,395859,6
Honda,2009,4500000,2400cc,Automatic,99054,6
Porsche,2019,80000000,3000cc,Automatic,7690,6
Suzuki,2012,1100000,1000cc,Manual,5275,6
Suzuki,2014,1250000,1000cc,Manual,1269,6
Suzuki,2016,2375000,1300cc,Automatic,91714,6
Toyota,2015,2610000,1300cc,Manual,127000,6
Toyota,2017,4350000,1800cc,Automatic,78000,6
Daihatsu,2018,3100000,660cc,Automatic,55000,6
Suzuki,2018,1260000,800cc,Manual,60000,6
Toyota,2004,9900000,3378cc,Automatic,196000,6
Toyota,2019,4925000,1800cc,Automatic,58000,6
Toyota,2015,3000000,1300cc,Manual,107000,6
Honda,2006,1300000,1600cc,Automatic,146000,6
Toyota,2022,7000000,1800cc,Automatic,12000,6
Toyota,2022,7050000,1800cc,Automatic,18000,6
Suzuki,2016,1875000,1300cc,Manual,121000,6
Toyota,2006,1550000,1300cc,Manual,300000,6
Honda,2010,2200000,1300cc,Manual,141000,6
Hyundai,2023,7850000,2000cc,Automatic,10,6
Mazda,2019,3175000,660cc,Automatic,32000,6
Hyundai,2000,480000,1000cc,Manual,5588,3
Honda,2009,2150000,1300cc,Automatic,150000,6
Toyota,2015,3199000,1300cc,Automatic,1,6
Daihatsu,2007,1000000,800cc,Automatic,106000,6
Honda,2010,2050000,1800cc,Manual,103000,6
Honda,2020,7250000,1500cc,Automatic,46000,6
Daihatsu,2016,2690000,660cc,Automatic,85000,6
Hyundai,2021,9480000,2500cc,Automatic,9300,6
Suzuki,2019,2085000,660cc,Manual,68000,6
Suzuki,2012,1530000,1300cc,Manual,98000,6
Suzuki,2016,2375000,1300cc,Automatic,91714,6
Toyota,2007,1800000,1000cc,Automatic,110199,6
Suzuki,2021,3650000,660cc,Automatic,8233,2
Honda,2016,5250000,1500cc,Automatic,72848,2
Hyundai,2009,1160000,1100cc,Manual,207085,6
Suzuki,2009,875000,1000cc,Manual,29716,6
Suzuki,2009,875000,1000cc,Manual,55220,6
Toyota,2007,3000000,1500cc,Automatic,130839,6
United,2022,1490000,796cc,Manual,7989,6
Suzuki,2009,875000,1000cc,Manual,5610,6
Toyota,2018,3800000,996cc,Automatic,83436,6
Suzuki,2022,3390000,1000cc,Manual,23000,6
Suzuki,2012,1530000,1300cc,Manual,98000,6
Honda,2001,590000,1300cc,Manual,12345,6
Suzuki,2008,1400000,660cc,Automatic,123456,6
Suzuki,2018,1150000,800cc,Manual,123456,6
Suzuki,2016,1020000,800cc,Manual,123456,6
Toyota,2016,3050000,1300cc,Automatic,84000,6
Suzuki,1995,280000,1000cc,Manual,9999,6
Honda,2006,1650000,1300cc,Manual,11111,6
Mitsubishi,2015,1925000,660cc,Automatic,67000,6
Toyota,1999,1070000,1300cc,Manual,192,3
KIA,2020,7050000,1999cc,Automatic,29600,6
Toyota,2017,4920000,1500cc,Automatic,187000,2
Toyota,2013,2520000,1300cc,Manual,75000,6
DFSK,2013,1050000,1000cc,Manual,100000,6
Toyota,2015,3100000,1000cc,Automatic,56400,6
Suzuki,2020,2185000,660cc,Manual,29000,6
Others,2020,9800000,4000cc,Automatic,90000,1
Toyota,2014,2875000,1000cc,Automatic,144000,6
Honda,2013,2900000,1800cc,Automatic,100000,6
Suzuki,1989,570000,800cc,Manual,1,6
Honda,2023,5490000,1500cc,Automatic,60,6
Toyota,2022,4700000,1300cc,Automatic,8000,6
Daihatsu,2013,2500000,660cc,Automatic,98528,6
Toyota,2012,2700000,1300cc,Automatic,125000,6
Toyota,2011,11000000,3500cc,Automatic,76000,6
Suzuki,2014,990000,800cc,Manual,62000,6
Suzuki,2017,2090000,1300cc,Automatic,53000,6
Honda,2017,5000000,1800cc,Automatic,20000,6
Suzuki,2021,2665000,660cc,Automatic,12000,6
Suzuki,2022,2765000,660cc,Automatic,6000,6
Honda,2021,6375000,1800cc,Automatic,22000,6
Toyota,2004,7140000,3378cc,Automatic,130000,6
Honda,2008,1890000,1800cc,Automatic,157000,6
Honda,2023,6100000,1500cc,Automatic,500,6
Suzuki,2013,1275000,1000cc,Manual,68792,6
Suzuki,2013,1275000,1000cc,Manual,67821,6
Honda,2014,2750000,1800cc,Automatic,117599,6
Suzuki,2006,690000,1000cc,Manual,208450,6
Toyota,2010,7500000,2500cc,Automatic,72000,6
Suzuki,2019,2575000,1300cc,Automatic,83603,6
Toyota,2013,1950000,1300cc,Manual,2,6
Toyota,2021,6775000,1800cc,Automatic,31700,6
Suzuki,2018,2030000,1000cc,Manual,67000,6
Toyota,2011,2100000,1300cc,Manual,95000,6
Honda,2017,2785000,1300cc,Manual,76000,6
Toyota,2016,4800000,1500cc,Automatic,54000,6
Suzuki,1991,270000,1000cc,Manual,15000,6
Suzuki,1991,270000,1000cc,Manual,15000,6
Toyota,2017,5650000,1500cc,Automatic,64000,2
Suzuki,2018,3150000,660cc,Automatic,36000,2
Honda,2021,4370000,1500cc,Automatic,16000,6
Suzuki,2017,1750000,1000cc,Manual,95000,6
Honda,2023,7525000,1500cc,Automatic,1,6
Toyota,2009,2200000,1300cc,Manual,139792,6
Suzuki,2000,670000,1000cc,Manual,150000,6
Toyota,2014,2600000,1000cc,Automatic,107000,6
Suzuki,2017,1100000,796cc,Manual,102000,6
Suzuki,2006,650000,1000cc,Manual,38500,6
Suzuki,2014,945000,800cc,Manual,84000,6
Toyota,2019,3450000,1300cc,Manual,56000,6
Daihatsu,2011,625000,800cc,Manual,180000,6
Suzuki,1989,150000,800cc,Manual,100000,6
Daihatsu,2018,3485000,660cc,Automatic,32000,6
Daihatsu,2016,2675000,660cc,Automatic,38000,6
Suzuki,2013,1600000,1300cc,Manual,153769,6
Honda,2015,5075000,1500cc,Automatic,82617,2
Honda,2017,2950000,1500cc,Manual,82325,6
Toyota,1998,4400000,3400cc,Automatic,168000,6
Suzuki,2007,850000,1000cc,Manual,105245,6
Honda,2023,7600000,1500cc,Automatic,10,6
Honda,2020,5985000,1800cc,Automatic,16200,6
Toyota,2003,1850000,1600cc,Automatic,106223,6
Honda,2004,1290000,1500cc,Automatic,122511,6
Suzuki,2022,3700000,1000cc,Automatic,16634,6
Honda,2008,2050000,1300cc,Automatic,78000,6
Honda,2015,3250000,1800cc,Automatic,81000,6
Toyota,2022,4700000,1500cc,Automatic,7500,6
Toyota,2004,1500000,1600cc,Automatic,170000,6
Toyota,2014,3560000,1800cc,Automatic,109626,6
Toyota,2004,1725000,1600cc,Automatic,152500,6
Daihatsu,2018,3100000,660cc,Automatic,44000,6
Toyota,2012,27750000,1500cc,Automatic,12315,6
Toyota,2014,7200000,2700cc,Automatic,51000,6
Suzuki,2012,785000,800cc,Manual,89000,6
Suzuki,2016,1425000,1000cc,Manual,70000,6
Honda,2022,6495000,1800cc,Automatic,12000,6
Toyota,2011,1780000,1300cc,Manual,180000,6
Daihatsu,1997,1450000,1300cc,Automatic,200000,6
Suzuki,2013,680000,800cc,Manual,69000,6
Suzuki,2008,930000,1000cc,Manual,75000,6
Suzuki,2013,1000000,800cc,Manual,152000,6
Toyota,2018,4150000,1600cc,Automatic,85000,6
Suzuki,2006,530000,800cc,Manual,21,6
Honda,2009,1945000,1300cc,Manual,121000,6
Suzuki,2008,925000,1000cc,Manual,160000,6
Suzuki,2017,3950000,1000cc,Automatic,30000,6
Hyundai,2004,875000,1000cc,Manual,143000,6
Toyota,2018,3600000,1600cc,Automatic,71091,6
Honda,2021,3750000,1300cc,Manual,21000,6
Honda,2011,2325000,1800cc,Automatic,165182,6
Honda,2008,4400000,2400cc,Automatic,188424,6
Suzuki,2022,4700000,1242cc,Automatic,8329,6
FAW,2017,1400000,1300cc,Manual,64980,6
Suzuki,2012,825000,796cc,Manual,91506,6
Toyota,2012,4400000,1800cc,Automatic,80322,6
Toyota,2009,2065000,1000cc,Automatic,52000,6
Honda,2020,3850000,1500cc,Automatic,68703,6
Honda,2012,2490000,1800cc,Manual,163923,6
Honda,2005,1700000,1300cc,Manual,195132,6
Toyota,2018,6500000,1500cc,Automatic,57861,6
Toyota,2019,4400000,1600cc,Automatic,85000,6
Suzuki,2011,825000,800cc,Manual,98000,6
Toyota,2016,3200000,1300cc,Manual,101600,6
Toyota,2019,4000000,1300cc,Automatic,145000,6
Suzuki,2022,4250000,1200cc,Automatic,8000,6
Toyota,2006,1850000,1000cc,Automatic,156620,6
Suzuki,2018,2995000,660cc,Automatic,17500,6
Honda,2012,2250000,1800cc,Automatic,160000,6
Honda,2018,2850000,1500cc,Manual,49000,6
Suzuki,2012,1025000,1000cc,Manual,120000,6
Suzuki,2013,845000,800cc,Manual,53000,6
Suzuki,2016,2350000,660cc,Manual,100000,6
Toyota,2022,6150000,1600cc,Automatic,47000,6
Toyota,2011,1850000,1300cc,Manual,170000,6
Suzuki,2017,1300000,796cc,Manual,66000,6
Honda,2004,1590000,1300cc,Automatic,10000,6
Toyota,2022,6000000,1598cc,Manual,600,6
Toyota,2003,4500000,3378cc,Automatic,265000,6
Daihatsu,2007,1190000,660cc,Automatic,190000,6
Suzuki,2017,1195000,796cc,Manual,8907,6
Honda,2020,6200000,1800cc,Automatic,49000,6
KIA,2020,2950000,1000cc,Automatic,35000,6
Toyota,2015,7900000,2700cc,Automatic,57000,6
Suzuki,2016,910000,800cc,Manual,70000,6
Suzuki,2006,720000,1000cc,Manual,12345,6
Honda,2006,1520000,1600cc,Automatic,122000,6
Honda,2013,2725000,1800cc,Automatic,184052,6
KIA,2020,7050000,2000cc,Automatic,26872,6
Toyota,2011,2690000,1600cc,Automatic,136872,6
Honda,2021,5200000,1500cc,Automatic,69410,6
BMW,2021,14900000,1500cc,Automatic,5532,6
BMW,2018,8700000,1500cc,Automatic,86907,6
Honda,2017,5800000,1500cc,Automatic,42910,6
Toyota,2019,5800000,1500cc,Automatic,30500,2
Suzuki,2014,1450000,1000cc,Manual,83129,6
Suzuki,2004,575000,800cc,Manual,66209,6
Suzuki,2017,2100000,1300cc,Manual,288550,6
Toyota,2022,5800000,1600cc,Automatic,10032,6
Honda,2021,5650000,1800cc,Automatic,19000,6
Suzuki,2018,4000000,1000cc,Automatic,22000,6
Suzuki,2012,1280000,1000cc,Manual,95000,6
Honda,2018,4800000,1800cc,Automatic,102000,6
Suzuki,1989,395000,800cc,Manual,170000,6
Toyota,2013,2075000,1300cc,Manual,86000,6
Suzuki,2018,1990000,1300cc,Manual,100000,6
Suzuki,2021,3550000,1000cc,Automatic,23000,6
Nissan,2012,970000,660cc,Automatic,123123,6
Honda,2017,7200000,1500cc,Automatic,40001,2
Toyota,2022,13350000,2800cc,Automatic,9500,1
Honda,2015,5500000,1500cc,Automatic,132696,2
Toyota,2019,12000000,2700cc,Automatic,13000,6
Toyota,1993,3200000,2800cc,Manual,65000,1
Toyota,2020,4850000,1600cc,Automatic,53000,6
Honda,2017,3000000,1300cc,Manual,80000,6
Changan,2021,3850000,1500cc,Automatic,14000,6
Mercedes Benz,2014,12000000,2000cc,Automatic,91000,6
Lexus,2010,11000000,3500cc,Automatic,67000,2
FAW,2015,825000,1000cc,Manual,1,6
Suzuki,2011,1600000,1300cc,Manual,118000,6
Hyundai,2006,1100000,1100cc,Automatic,49123,6
Honda,2015,2645000,1500cc,Manual,82000,6
Honda,2018,3100000,1300cc,Manual,92000,6
Honda,2020,4000000,1300cc,Manual,34800,6
Honda,2003,1745000,1600cc,Automatic,135000,6
Toyota,2022,6300000,1598cc,Automatic,7200,6
Nissan,2020,3100000,660cc,Automatic,54000,2
Honda,2023,10100000,1498cc,Automatic,5,6
Mercedes Benz,2019,21500000,1600cc,Automatic,31821,6
Prince,2021,1990000,1000cc,Manual,7581,6
Suzuki,2018,1270000,796cc,Manual,20528,6
Honda,2011,1750000,1800cc,Manual,96030,6
Suzuki,2016,1100000,796cc,Manual,51792,6
Toyota,2011,22500000,4600cc,Automatic,110309,6
Honda,2013,1975000,1300cc,Manual,98421,6
Honda,2021,4700000,1500cc,Automatic,22951,6
Suzuki,2017,1130000,800cc,Manual,89000,6
Suzuki,2022,2665000,660cc,Manual,50,6
Suzuki,2016,2300000,660cc,Automatic,125608,6
Honda,2022,8100000,1500cc,Automatic,19000,6
Suzuki,2007,540000,1000cc,Manual,123491,6
Honda,2014,2650000,1300cc,Automatic,94000,6
Honda,2014,2550000,1300cc,Manual,74000,6
Toyota,2004,4450000,2500cc,Automatic,147000,6
Honda,2011,2350000,1300cc,Manual,118000,6
Honda,2016,3600000,1800cc,Automatic,78000,6
Honda,2017,3350000,1500cc,Automatic,38000,6
Honda,1996,1050000,1500cc,Manual,194000,6
Honda,2013,2475000,1300cc,Manual,150000,6
Toyota,2021,4800000,1500cc,Automatic,37547,6
Daihatsu,2009,860000,800cc,Manual,130042,6
Suzuki,1999,460000,1000cc,Manual,150000,6
Toyota,2016,3450000,1300cc,Automatic,70000,6
Suzuki,2014,1265000,1000cc,Manual,55000,6
Toyota,2015,2950000,1600cc,Automatic,80700,6
Mitsubishi,2004,1360000,1300cc,Manual,191000,6
Suzuki,2022,3200000,1000cc,Manual,15000,6
Suzuki,2009,880000,800cc,Manual,12954,6
Suzuki,2015,2100000,660cc,Automatic,98000,6
Daihatsu,2011,880000,800cc,Manual,123,6
Suzuki,2018,2750000,1000cc,Manual,5867,6
Toyota,2009,12000000,4000cc,Automatic,122606,6
Toyota,2007,7200000,2700cc,Automatic,135136,6
Toyota,2018,4100000,1300cc,Automatic,76181,6
Honda,2018,4999999,1800cc,Automatic,47000,6
Honda,2003,2300000,2400cc,Automatic,230323,6
Toyota,2022,14500000,2700cc,Automatic,6089,6
Toyota,2009,14000000,2700cc,Automatic,136763,6
Suzuki,2014,1250000,1000cc,Manual,96212,6
Toyota,2016,42500000,4600cc,Automatic,54323,6
Mercedes Benz,2007,4500000,1800cc,Automatic,188379,6
Suzuki,2006,800000,1000cc,Manual,95228,6
Mercedes Benz,2007,9500000,3000cc,Automatic,150052,6
Suzuki,2008,550000,800cc,Manual,786786,6
